aTV_x aTV_y aTV_z / Xrot Yrot Zrot / X2 Y2 Z2
450 0.053050 / -0.053137 0.029175 0.079575
0.028750 -0.032750 -0.931000 / -0.070850 0.038900 0.106100 / -0.141700 0.077800 0.212200
0.028750 -0.032750 -0.931000 / -0.106275 0.058350 0.159150 / -0.265687 0.145875 0.397875
0.028750 -0.032750 -0.931000 / -0.141700 0.077800 0.212200 / -0.425100 0.233400 0.636600
0.028750 -0.032750 -0.931000 / -0.177125 0.097250 0.265250 / -0.619937 0.340375 0.928376
0.028750 -0.032750 -0.931000 / -0.212550 0.116700 0.318300 / -0.850200 0.466800 1.273201
0.028750 -0.032750 -0.931000 / -0.247975 0.136150 0.371350 / -1.115887 0.612675 1.671076
0.028750 -0.032750 -0.931000 / -0.283400 0.155600 0.424400 / -1.416999 0.777999 2.122001
0.028750 -0.032750 -0.931000 / -0.318825 0.175050 0.477450 / -1.753537 0.962774 2.625977
0.028750 -0.032750 -0.931000 / -0.354250 0.194500 0.530500 / -2.125499 1.166999 3.183002
0.028750 -0.032750 -0.931000 / -0.389675 0.213950 0.583550 / -2.532886 1.390674 3.793078
0.028750 -0.032750 -0.931000 / -0.425100 0.233400 0.636600 / -2.975698 1.633799 4.456203
0.028750 -0.032750 -0.931000 / -0.460525 0.252850 0.689650 / -3.453936 1.896374 5.172379
0.028750 -0.032750 -0.931000 / -0.495950 0.272300 0.742701 / -3.967598 2.178398 5.941604
0.028750 -0.032750 -0.931000 / -0.531375 0.291750 0.795751 / -4.516685 2.479873 6.763880
0.028750 -0.032750 -0.931000 / -0.566800 0.311200 0.848801 / -5.101197 2.800798 7.639205
0.028750 -0.032750 -0.931000 / -0.602225 0.330650 0.901851 / -5.721134 3.141173 8.567581
0.028750 -0.032750 -0.931000 / -0.637650 0.350100 0.954901 / -6.376496 3.500997 9.549006
0.028750 -0.032750 -0.931000 / -0.673075 0.369550 1.007951 / -7.067284 3.880272 10.583482
0.028750 -0.032750 -0.931000 / -0.708500 0.389000 1.061001 / -7.793496 4.278996 11.671007
0.028750 -0.032750 -0.931000 / -0.743925 0.408450 1.114051 / -8.555133 4.697171 12.811583
0.028750 -0.032750 -0.931000 / -0.779350 0.427900 1.167101 / -9.352195 5.134796 14.005208
0.028750 -0.032750 -0.931000 / -0.814775 0.447350 1.220151 / -10.184682 5.591870 15.251884
0.028750 -0.032750 -0.931000 / -0.850200 0.466800 1.273201 / -11.052594 6.068395 16.551609
0.028750 -0.032750 -0.931000 / -0.885625 0.486250 1.326251 / -11.955932 6.564369 17.904385
0.028750 -0.032750 -0.931000 / -0.921050 0.505700 1.379301 / -12.894694 7.079794 19.310211
0.028750 -0.032750 -0.931000 / -0.956475 0.525150 1.432351 / -13.868881 7.614668 20.769087
0.028750 -0.032750 -0.931000 / -0.991900 0.544600 1.485401 / -14.878493 8.168993 22.281013
0.028750 -0.032750 -0.931000 / -1.027325 0.564050 1.538451 / -15.923531 8.742767 23.845989
0.028750 -0.032750 -0.931000 / -1.062750 0.583500 1.591501 / -17.003992 9.335992 25.464016
0.028750 -0.032750 -0.931000 / -1.098175 0.602950 1.644551 / -18.119879 9.948667 27.135092
0.028750 -0.032750 -0.931000 / -1.133600 0.622400 1.697601 / -19.271191 10.580791 28.859219
0.028750 -0.032750 -0.931000 / -1.169025 0.641850 1.750651 / -20.457928 11.232366 30.636395
0.028750 -0.032750 -0.931000 / -1.204450 0.661300 1.803701 / -21.680090 11.903390 32.466621
0.028750 -0.032750 -0.931000 / -1.239874 0.680750 1.856751 / -22.937677 12.593864 34.349899
0.028750 -0.032750 -0.931000 / -1.275299 0.700200 1.909801 / -24.230690 13.303789 36.286224
0.028750 -0.032750 -0.931000 / -1.310724 0.719650 1.962851 / -25.559128 14.033164 38.275600
0.028750 -0.032750 -0.931000 / -1.346149 0.739100 2.015901 / -26.922989 14.781988 40.318027
0.028750 -0.032750 -0.931000 / -1.381574 0.758550 2.068951 / -28.322275 15.550262 42.413506
0.028750 -0.032750 -0.931000 / -1.416999 0.778000 2.122001 / -29.756987 16.337988 44.562031
0.009500 -0.020750 -0.974750 / -1.451774 0.798150 2.147851 / -31.226149 17.146214 46.722809
0.009500 -0.020750 -0.974750 / -1.486549 0.818300 2.173702 / -32.730083 17.974588 48.909435
0.009500 -0.020750 -0.974750 / -1.521324 0.838450 2.199552 / -34.268795 18.823112 51.121910
0.009500 -0.020750 -0.974750 / -1.556099 0.858600 2.225402 / -35.842281 19.691788 53.360237
0.009500 -0.020750 -0.974750 / -1.590874 0.878750 2.251252 / -37.450542 20.580612 55.624413
0.009500 -0.020750 -0.974750 / -1.625649 0.898900 2.277102 / -39.093578 21.489586 57.914440
0.009500 -0.020750 -0.974750 / -1.660424 0.919050 2.302952 / -40.771389 22.418711 60.230316
0.009500 -0.020750 -0.974750 / -1.695199 0.939200 2.328802 / -42.483974 23.367985 62.572044
0.009500 -0.020750 -0.974750 / -1.729974 0.959350 2.354652 / -44.231335 24.337410 64.939621
0.009500 -0.020750 -0.974750 / -1.764749 0.979500 2.380502 / -46.013470 25.326984 67.333046
0.009500 -0.020750 -0.974750 / -1.799524 0.999650 2.406352 / -47.830383 26.336710 69.752319
0.009500 -0.020750 -0.974750 / -1.834299 1.019800 2.432202 / -49.682072 27.366585 72.197449
0.009500 -0.020750 -0.974750 / -1.869074 1.039950 2.458052 / -51.568535 28.416609 74.668427
0.009500 -0.020750 -0.974750 / -1.903849 1.060100 2.483902 / -53.489773 29.486784 77.165253
0.009500 -0.020750 -0.974750 / -1.938624 1.080250 2.509752 / -55.445786 30.577108 79.687927
0.009500 -0.020750 -0.974750 / -1.973399 1.100399 2.535602 / -57.436573 31.687582 82.236458
0.009500 -0.020750 -0.974750 / -2.008174 1.120549 2.561452 / -59.462135 32.818207 84.810837
0.009500 -0.020750 -0.974750 / -2.042949 1.140699 2.587302 / -61.522472 33.968983 87.411064
0.009500 -0.020750 -0.974750 / -2.077724 1.160849 2.613153 / -63.617584 35.139908 90.037140
0.009500 -0.020750 -0.974750 / -2.112499 1.180999 2.639003 / -65.747475 36.330982 92.689064
0.009500 -0.020750 -0.974750 / -2.147274 1.201149 2.664853 / -67.912140 37.542206 95.366844
0.009500 -0.020750 -0.974750 / -2.182050 1.221299 2.690703 / -70.111580 38.773579 98.070473
0.009500 -0.020750 -0.974750 / -2.216825 1.241449 2.716553 / -72.345795 40.025105 100.799950
0.009500 -0.020750 -0.974750 / -2.251600 1.261599 2.742403 / -74.614784 41.296780 103.555275
0.009500 -0.020750 -0.974750 / -2.286375 1.281749 2.768253 / -76.918549 42.588604 106.336456
